,Pad,Stop,Dummy
reward mean,-3.8177636105245036,-66.4461807442772,-5.125076594233513
reward std,5.5323922317794425,58.58046262039553,8.656643249949392
success rate,0.9415,0.56125,0.76
length mean,101.324,145.944,96.188
length std,37.04167955155382,68.60380356802384,34.11925638111124
