algorithm,mean,std dev
HL,-0.22546507672071456,0.04082197558106595
BC,-0.9361061122318108,0.22828499424837673
DAgger,-0.6409848089893659,0.16599804132877202
SAC,-0.6143703378915787,0.1897754287023257
P-BC,-1.006616159487764,0.24552103506026668
P-DAgger,-0.41510662915160257,0.101069655516452
P-SAC,-0.2806613749663035,0.06374957457056428
