algorithm,mean,std dev
HL,-0.22394021556576094,0.043878187406575675
BC,-0.2927901468187571,0.05409443947393792
DAgger,-0.3470138942579428,0.05403354761667279
SAC,-0.16906892269750437,0.07713718782096986
